timestamp,user_id,source_ip,country,event_type,bytes_transferred,failed_logins_last_hour,session_duration_min,label,hour_of_day,is_foreign_rare,event_type_enc,predicted,anomaly_score
2026-06-01 02:02:00,user_071,64.128.172.94,KP,file_access,87918,1,9,anomaly,2,1,2,anomaly,0.14039148656989286
2026-06-01 04:52:00,user_029,43.125.183.218,BR,vpn_connect,67339,2,5,anomaly,4,1,4,anomaly,0.156385754965779
2026-06-01 06:04:00,user_081,50.26.72.241,US,vpn_connect,4166,0,29,normal,6,0,4,normal,-0.11452455259020916
2026-06-01 06:24:00,user_103,93.195.10.126,GB,data_transfer,27184,0,26,normal,6,0,1,normal,-0.1074329480702152
2026-06-01 06:43:00,user_002,149.51.166.93,DE,file_access,10972,0,40,normal,6,0,2,normal,-0.11086098094083507
2026-06-01 06:49:00,user_056,49.157.65.70,BR,login,2635,0,7,anomaly,6,1,3,anomaly,0.04405995198705981
2026-06-01 07:11:00,user_083,111.50.192.38,GB,data_transfer,400,0,15,normal,7,0,1,normal,-0.13727286224732987
2026-06-01 07:37:00,user_050,166.227.21.233,US,api_call,1543,0,24,normal,7,0,0,normal,-0.11359663416214855
2026-06-01 07:41:00,user_004,95.238.75.115,US,vpn_connect,6047,0,1,normal,7,0,4,normal,-0.09831199750042557
2026-06-01 07:46:00,user_106,173.148.229.40,US,data_transfer,2339,0,60,normal,7,0,1,normal,-0.06987436661749141
2026-06-01 08:05:00,user_111,167.107.213.159,CA,login,3476,0,14,normal,8,0,3,normal,-0.16941264542644474
2026-06-01 08:11:00,user_032,146.231.207.211,CA,data_transfer,2308,2,27,normal,8,0,1,normal,-0.05758238479503264
2026-06-01 08:15:00,user_064,93.105.45.50,DE,data_transfer,5121,0,40,normal,8,0,1,normal,-0.14462101006199135
2026-06-01 08:20:00,user_013,208.91.138.63,GB,login,8369,0,1,normal,8,0,3,normal,-0.13075291424577828
2026-06-01 08:29:00,user_086,215.27.43.15,IN,data_transfer,2297,0,45,normal,8,0,1,normal,-0.13567508790517913
2026-06-01 08:30:00,user_007,35.149.187.174,US,file_access,2026,0,24,normal,8,0,2,normal,-0.1707645352937086
2026-06-01 08:36:00,user_078,183.137.210.238,US,vpn_connect,1588,0,35,normal,8,0,4,normal,-0.14053794155540977
2026-06-01 08:38:00,user_108,76.63.200.44,US,login,6631,0,33,normal,8,0,3,normal,-0.16184651651967924
2026-06-01 08:53:00,user_017,180.187.179.185,US,data_transfer,2090,1,35,normal,8,0,1,normal,-0.09142281976814481
2026-06-01 09:02:00,user_044,199.12.15.22,US,login,922,0,33,normal,9,0,3,normal,-0.16893825773026167
2026-06-01 09:03:00,user_059,121.61.75.88,KP,login,526,0,3,anomaly,9,1,3,anomaly,0.023723456819615296
2026-06-01 09:03:00,user_106,72.88.100.146,US,vpn_connect,968,0,26,normal,9,0,4,normal,-0.15266397247780683
2026-06-01 09:08:00,user_031,218.37.12.230,US,data_transfer,731,0,37,normal,9,0,1,normal,-0.16235603624744444
2026-06-01 09:13:00,user_031,12.65.151.118,US,api_call,2256,0,22,normal,9,0,0,normal,-0.14061016391680703
2026-06-01 09:43:00,user_005,72.90.175.219,US,login,2873,0,42,normal,9,0,3,normal,-0.15879355131872774
2026-06-01 09:44:00,user_097,34.183.151.62,US,vpn_connect,1606,0,26,normal,9,0,4,normal,-0.15466441480179016
2026-06-01 09:45:00,user_006,13.43.112.63,US,file_access,5511,0,1,normal,9,0,2,normal,-0.13749753052235147
2026-06-01 09:51:00,user_082,121.222.45.17,US,login,8459,0,38,normal,9,0,3,normal,-0.16120473814180653
2026-06-01 10:09:00,user_038,136.208.218.5,US,file_access,1601,0,33,normal,10,0,2,normal,-0.17873252320871635
2026-06-01 10:09:00,user_095,127.47.77.254,DE,data_transfer,7084,0,58,normal,10,0,1,normal,-0.10823313373455684
2026-06-01 10:10:00,user_015,178.207.249.78,IN,vpn_connect,15082,1,38,normal,10,0,4,normal,-0.0572448491610813
2026-06-01 10:12:00,user_018,179.96.13.54,US,login,19351,0,2,normal,10,0,3,normal,-0.11152866060285133
2026-06-01 10:17:00,user_061,37.127.90.145,US,api_call,6800,0,20,normal,10,0,0,normal,-0.14720883354229053
2026-06-01 10:18:00,user_003,183.47.70.239,US,api_call,4731,0,36,normal,10,0,0,normal,-0.14682694410421054
2026-06-01 10:22:00,user_007,174.81.89.212,GB,api_call,468,0,22,normal,10,0,0,normal,-0.1460640167206041
2026-06-01 10:24:00,user_088,145.249.7.59,US,api_call,1450,0,26,normal,10,0,0,normal,-0.15020220931828038
2026-06-01 10:25:00,user_107,210.181.16.249,US,file_access,2712,1,13,normal,10,0,2,normal,-0.12855523738754293
2026-06-01 10:30:00,user_100,121.169.215.91,AU,vpn_connect,3877,0,26,normal,10,0,4,normal,-0.1607252682638965
2026-06-01 10:31:00,user_015,72.196.153.212,CA,login,1048,0,14,normal,10,0,3,normal,-0.17720680837395042
2026-06-01 10:32:00,user_055,31.226.200.41,AU,api_call,5023,0,35,normal,10,0,0,normal,-0.14583576196105708
2026-06-01 10:42:00,user_007,97.176.174.23,US,api_call,6324,1,24,normal,10,0,0,normal,-0.08889170331211083
2026-06-01 10:48:00,user_054,105.181.71.250,US,vpn_connect,1210,1,27,normal,10,0,4,normal,-0.10110283470580744
2026-06-01 10:53:00,user_013,168.56.173.240,DE,file_access,7265,0,15,normal,10,0,2,normal,-0.1730021095916512
2026-06-01 10:57:00,user_004,77.25.238.239,CA,login,3506,1,25,normal,10,0,3,normal,-0.14358872101702874
2026-06-01 11:15:00,user_025,125.223.216.166,IN,api_call,2171,1,9,normal,11,0,0,normal,-0.076350799141843
2026-06-01 11:16:00,user_075,191.207.244.159,AU,api_call,1062,0,11,normal,11,0,0,normal,-0.13943212132956045
2026-06-01 11:16:00,user_047,122.11.21.22,US,vpn_connect,858,0,13,normal,11,0,4,normal,-0.15711309332290985
2026-06-01 11:19:00,user_004,154.38.7.81,DE,login,17950,0,40,normal,11,0,3,normal,-0.14262546941170112
2026-06-01 11:22:00,user_006,66.51.25.248,US,file_access,2803,0,16,normal,11,0,2,normal,-0.180146384152427
